"modelName" "brand" "nationality" "sizeClass" "modelfuelEffi" "fuel" "market" "thumnail" "price"
"2017_쏘렌토" "기아자동차" "국산" "중형" "11.6~13.5km" "디젤" "국내출시" "http://imgauto.naver.com/20160905_69/auto_1473066742437x4eGE_PNG/20160905181136_GScCwlPk.png?type=f508_367" "3220"
"2016_K7" "기아자동차" "국산" "대형" "7.1~14.3km" "디젤_가솔린_LPG" "국내출시" "http://imgauto.naver.com/20160113_75/auto_1452669206388KVPRF_PNG/20160113161324_uOURr4wl.png?type=f508_367" "3285"
"2017_카니발" "기아자동차" "국산" "대형" "8.3~11.5km" "디젤_가솔린" "국내출시" "http://imgauto.naver.com/20160614_48/auto_1465892789235iuWGc_PNG/20160614172420_3lDSuI7c.png?type=f508_367" "3230"
"2017_스포티지" "기아자동차" "국산" "준중형" "12.0~15.0km" "디젤" "국내출시" "http://imgauto.naver.com/20160826_129/auto_1472177337515QUScC_PNG/20160826110839_Ilup57nu.png?type=f508_367" "2662.5"
"2016_니로" "기아자동차" "수입" "소형" "19.5km" "하이브리드_가솔린_전기" "국내출시" "http://imgauto.naver.com/20160323_132/auto_1458693794917wNw3J_PNG/20160323094311_yJb89ibQ.png?type=f508_367" "2688"
"2016_모하비" "기아자동차" "국산" "대형" "10.3~10.7km" "디젤" "국내출시" "http://imgauto.naver.com/20160216_224/auto_1455589063401EjJej_PNG/20160216111737_C395TUW0.png?type=f508_367" "4466"
"2017_K5" "기아자동차" "국산" "중형" "10.4~16.1km" "디젤_가솔린" "국내출시" "http://imgauto.naver.com/20160712_17/auto_1468304666568sjTax_PNG/20160712152424_tZU1CbPg.png?type=f508_367" "2730"
"2017_K3_세단" "기아자동차" "국산" "준중형" "13.2~19.1km" "디젤_가솔린" "국내출시" "http://imgauto.naver.com/20160719_194/auto_1468901005692eEXH2_PNG/20160719130323_ckurNuGD.png?type=f508_367" "1907.5"
"2015_모닝" "기아자동차" "국산" "경형" "12.4~16.2km" "가솔린_LPG" "국내출시" "http://imgauto.naver.com/20150810_31/auto_1439182433422GkyEY_PNG/20150810135337_eLyF2cm2.png?type=f567_410" "1197.5"
"2015_레이" "기아자동차" "국산" "경형" "13.2~13.9km" "가솔린" "국내출시" "http://imgauto.naver.com/20141218_195/auto_1418873499090qpN7q_PNG/20141218123043_ZFLR2E29.png?type=f508_367" "1378.5"
"2017_쏘울" "기아자동차" "국산" "준중형" "11.9~15.2km" "디젤_가솔린" "국내출시" "http://imgauto.naver.com/20160822_168/auto_147184808595570AGy_PNG/20160822154123_dvcNvTsm.png?type=f567_410" "2032.5"
"2017_카니발_하이리무진" "기아자동차" "국산" "대형" "7.6~10.3km" "디젤_가솔린" "국내출시" "http://imgauto.naver.com/20160712_100/auto_1468296939843PfFk9_PNG/20160712131535_aWpym3hL.png?type=f508_367" "5374"
"2015_프라이드_해치백" "기아자동차" "국산" "소형" "13.3~19.0km" "디젤_가솔린" "국내출시" "http://imgauto.naver.com/20141231_236/auto_1420003945531dcQIL_PNG/20141231143155_Lh1MSyA7.png?type=f508_367" "1484"
"2017_카니발_리무진" "기아자동차" "국산" "대형" "8.3~11.2km" "디젤_가솔린" "국내출시" "http://imgauto.naver.com/20160615_225/auto_1465955591260gSAE3_PNG/20160615105309_q8lVdeH0.png?type=f508_367" "3752.5"
"2017_봉고3" "기아자동차" "국산" "대형" "6.4~9.6km" "디젤_LPG" "국내출시" "http://imgauto.naver.com/20160909_5/auto_1473383206561v015s_JPEG/20160909100616_MLY4kwV8.jpg?type=f567_410" "1768.5"
"2017_옵티마_플러그인_하이브리드" "기아자동차" "수입" "중형" "166.0m" "가솔린_전기" "해외출시예정" "http://imgauto.naver.com/20160212_28/auto_1455251229331dbiYE_PNG/20160212132702_4hwZCofq.png?type=f508_367" "0"
"2015_K9" "기아자동차" "국산" "대형" "7.6~9.6km" "가솔린" "국내출시" "http://imgauto.naver.com/20141103_159/auto_1414975767966zGQ1R_PNG/20141103094915_K5LxxZUi.png?type=f508_367" "6805"
"2017_카렌스" "기아자동차" "국산" "준중형" "8.4~14.9km" "디젤_LPG" "국내출시" "http://imgauto.naver.com/20160726_131/auto_1469504647510gg3xd_JPEG/20160726124255_E00KaKCa.jpg?type=f567_410" "2230"
"2016_씨드" "기아자동차" "국산" "소형" "47.1~76.3m" "디젤_가솔린" "해외출시" "http://imgauto.naver.com/20150713_183/auto_14367701632002DigG_PNG/20150713154850_p0yOaJoy.png?type=f508_367" "0"
"2015_프라이드_세단" "기아자동차" "국산" "소형" "13.3~14.5km" "가솔린" "국내출시" "http://imgauto.naver.com/20141231_221/auto_1420006577362m29Jd_PNG/20141231151552_y0H5hTsw.png?type=f508_367" "1436.5"
"2016_K5" "기아자동차" "국산" "중형" "9.6~16.8km" "디젤_가솔린_LPG" "국내출시" "http://imgauto.naver.com/20150727_146/auto_1437989732298Qs63e_PNG/20150727183524_ldzVhyeh.png?type=f567_410" "2384"
"2017_K5_플러그인_하이브리드" "기아자동차" "국산" "중형" "16.4km" "가솔린_전기" "국내출시" "http://imgauto.naver.com/20160712_120/auto_1468323288299oXToM_PNG/20160712203445_MaMeTj7p.png?type=f508_367" "3960"
"2016_K3_세단" "기아자동차" "국산" "준중형" "13.2~19.1km" "디젤_가솔린" "국내출시" "http://imgauto.naver.com/20151215_209/auto_1450153759923SM1En_PNG/20151215132918_4Skcr5y2.png?type=f508_367" "1890"
"2017_카니발_아웃도어" "기아자동차" "국산" "대형" "10.3km" "디젤" "국내출시" "http://imgauto.naver.com/20160912_66/auto_1473653284615KySof_PNG/20160912130803_rmG74n7q.png?type=f508_367" "4169.5"
"2016_K5_하이브리드_" "기아자동차" "국산" "중형" "17.0~17.5km" "하이브리드_가솔린_전기" "국내출시" "http://imgauto.naver.com/20151204_222/auto_1449200738651Bu1Ti_PNG/20151204124535_VLyFNSV3.png?type=f508_367" "2981.5"
"2016_K3_쿱" "기아자동차" "국산" "준중형" "12.0~12.6km" "가솔린" "국내출시" "http://imgauto.naver.com/20141231_58/auto_1420011747789R2c8N_PNG/20141231164154_Te0wNJpn.png?type=f508_367" "2136.5"
"2014_K7_하이브리드" "기아자동차" "국산" "대형" "16.0km" "하이브리드_가솔린_전기" "국내출시" "http://imgauto.naver.com/20141030_187/auto_1414662184312NgD4s_PNG/20141030184301_CXbY6xZn.png?type=f567_410" "3434.5"
"2017_K3_유로" "기아자동차" "국산" "준중형" "12.3km" "가솔린" "국내출시" "http://imgauto.naver.com/20160719_265/auto_1468906072699WqAQb_JPEG/20160719142645_aeCr3xVk.jpg?type=f567_410" "2195"
"2017_포르테" "기아자동차" "수입" "준중형" "연비정보없음" "가솔린" "해외출시예정" "http://imgauto.naver.com/20160112_196/auto_1452584520143J44U9_PNG/20160112164150_aqcllL2L.png?type=f508_367" "0"
"2016_K3_유로" "기아자동차" "국산" "준중형" "12.3km" "가솔린" "국내출시" "http://imgauto.naver.com/20160317_5/auto_1458181062380CCNui_PNG/20160317111739_OrD1U0Kg.png?type=f508_367" "2195"
"2017_포르테_5" "기아자동차" "수입" "준중형" "연비정보없음" "가솔린" "해외출시예정" "http://imgauto.naver.com/20160118_224/auto_1453104548563xnEAy_PNG/20160118170855_mdpvglhB.png?type=f508_367" "0"
"2016_포르테_5" "기아자동차" "국산" "준중형" "24.0~28.0m" "가솔린" "해외출시" "http://imgauto.naver.com/20150811_93/auto_1439277380821kqdfY_PNG/20150811161548_mUmYSsTf.png?type=f508_367" "20695"
"2015_쏘울_EV" "기아자동차" "국산" "준중형" "5.0km" "전기" "국내출시" "http://imgauto.naver.com/20150528_251/auto_1432778015584Y3bFM_PNG/20150528105313_YbS3NpCN.png?type=f508_367" "4526"
